"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gga-miR-10b_st",-3.95260771299628,3.16456981256,-8.99492860732127,2.30666422747943e-09,3.05535270131385e-07,11.5690313290985
"rno-miR-375_st",-3.39349089992952,2.67708979769903,-8.9276568260441,2.6698713584547e-09,3.47750744438724e-07,11.4250365048871
"gga-miR-148a_st",-3.28432479949075,2.64533499254771,-8.88180195424217,2.95071021303245e-09,3.78029513358173e-07,11.3265224740471
"tni-miR-194_st",-4.83440987038486,3.54982284265997,-8.83259650827602,3.28602250597394e-09,4.09872352625496e-07,11.2204835261437
"xtr-miR-34b_st",-8.4724325527862,4.20695962106887,-8.83008493181485,3.3041533225088e-09,4.09872352625496e-07,11.2150619451562
"AFFX-r2-Ec-c3-bioB-3_at",2.91276909109105,10.4512367772085,8.80545773432577,3.48747484522141e-09,4.25853373678208e-07,11.1618540859243
"rno-miR-34b_st",-4.54617865222222,3.15416553780022,-8.73387862750038,4.08196092294384e-09,4.90777301735479e-07,11.0067239578745
"AFFX-r2-Ec-c2-bioB-3_at",2.79223270918947,10.5786330288103,8.70646289230422,4.33639369920603e-09,5.13468435746896e-07,10.9471174281387
"dre-miR-29a_st",-3.12270124541767,3.00111722245726,-8.69095387240217,4.48748473073944e-09,5.23428256279533e-07,10.9133516222911
"mne-miR-10b_st",-3.70875205001979,3.37926194131324,-8.58602445240576,5.66241227130031e-09,6.50761057356057e-07,10.6840190370525
"gga-miR-451_st",-5.89501563994166,4.47681983315553,-8.57486001345274,5.80476964619158e-09,6.57453257753438e-07,10.6595275943128
"cfa-miR-194_st",-4.60319844821515,3.59926028022965,-8.46004754668295,7.50061361338842e-09,8.37389934123293e-07,10.4066532052286
"mml-miR-148a_st",-3.30218593936034,2.57187660822674,-8.45141977036099,7.64701970995659e-09,8.4171069061001e-07,10.3875761870362
"AFFX-BioC-3_at",2.35544858907117,11.0060783132183,8.42992245765275,8.02470802310048e-09,8.53016265042159e-07,10.3399979454031
"mdo-let-7g_st",-3.42140231923987,2.67949582569805,-8.42856933455762,8.04911232820575e-09,8.53016265042159e-07,10.3370010321553
"rno-miR-194_st",-4.56943669539848,3.61979132372423,-8.42701799294321,8.07718536316311e-09,8.53016265042159e-07,10.3335647879023
"AFFX-r2-Ec-c1-bioC-3_at",2.0146112882371,11.84450816938,8.41793697141271,8.24354329667998e-09,8.58977211514053e-07,10.3134434595384
"AFFX-r2-Ec-c3-bioC-3_at",1.98962171888508,11.8743788379203,8.40919835995224,8.40694958635439e-09,8.64477776544205e-07,10.2940699698146
"tni-miR-29b_st",-2.5177287296494,2.34019696476307,-8.39972433173588,8.58786758018003e-09,8.71612794014376e-07,10.2730540320288
"gga-miR-34b_st",-8.3252026705271,4.3338201575113,-8.37365428653099,9.10661770377741e-09,9.12413043013083e-07,10.2151590851148
"HBII-85-15_x_st",-1.49024006057491,2.68114546761905,-8.36653535001831,9.25378671172988e-09,9.15422065217329e-07,10.1993332717292
"mml-miR-34c-3p_st",-7.57798846986359,4.69762446830785,-8.32912794040014,1.00682106920418e-08,9.83538331978834e-07,10.1160583967476
"AFFX-BioB-M_at",2.413790222844,10.9150977818668,8.30496107505651,1.06331431107348e-08,1.01907099564392e-06,10.062155500297
"AFFX-BioC-5_at",2.00382033803853,11.5278237944287,8.30248851508939,1.06927474910815e-08,1.01907099564392e-06,10.0566360049253
"AFFX-r2-Ec-c1-bioB-3_at",2.77753412879716,10.5199734359081,8.26706087461595,1.15854317839134e-08,1.09084517338896e-06,9.97745750997136
"hsa-miR-34c-3p_st",-6.83014910256145,5.22122238868341,-8.2485499526386,1.20819204774698e-08,1.1130934640579e-06,9.93601739083533
"AFFX-r2-Ec-c3-bioB-5_at",2.66129075863921,10.5021093407934,8.24765090519846,1.21065827824595e-08,1.1130934640579e-06,9.93400349468842
"age-miR-194_st",-4.33833945442161,3.84109704303719,-8.2252559630107,1.2737865736342e-08,1.14777260944114e-06,9.88380185296281
"mml-miR-503_st",-3.27488543123492,3.07862440500014,-8.2238879014336,1.27775069765041e-08,1.14777260944114e-06,9.88073287950627
"mml-miR-29c_st",-3.40764566418014,2.7086662151041,-8.21533165006239,1.30283220617034e-08,1.15700382854786e-06,9.86153274159735
"dme-miR-100_st",-3.10886695465661,3.5809670719098,-8.20768707409691,1.32566831213166e-08,1.1640559392482e-06,9.84436979968047
"AFFX-r2-Ec-c2-bioC-5_at",1.75834769893537,12.0366543476428,8.18067344708038,1.40970593700407e-08,1.22409465529853e-06,9.78365619984226
"odi-let-7c_st",-1.58920542892914,1.9149771543071,-8.15024811501937,1.51092824573905e-08,1.29757189455502e-06,9.71515361076642
"dre-miR-194a_st",-4.59960462590426,3.66615163716923,-8.14380054837644,1.53331914603648e-08,1.30248794850816e-06,9.70062045935449
"HBII-85-23_x_st",-3.19966692603886,3.27828219936298,-8.13889457620665,1.55058421157685e-08,1.3029909261799e-06,9.68955828669406
